student_id,name,department,year,age,attendance,python_marks,ml_marks,projects_completed,join_date
S001,Aarav,AIML,2,22,60.0,45.0,57.0,2,01-07-2023
S002,Vivaan,IT,3,22,91.0,75.0,83.0,0,04-07-2023
S003,Aditya,CSE,3,22,77.4,53.0,60.0,0,07-07-2023
S004,Vihaan,ECE,3,21,,72.0,68.0,4,10-07-2023
S005,Arjun,MECH,3,21,94.4,93.0,99.0,5,13-07-2023
S006,Sai, aiml ,4,18,67.1,63.0,93.0,4,16-07-2023
S007,Reyansh,CSE,4,22,65.7,71.0,45.0,3,19-07-2023
S008,Krishna,AIML,3,21,71.8,73.0,99.0,5,22-07-2023
S009,  ISHAAN  ,AIML,3,18,72.4,85.0,68.0,1,25-07-2023
S010,Rohan,CSE,2,20,,80.0,63.0,5,28-07-2023
S011,Ananya,ECE,3,20,62.9,92.0,43.0,6,31-07-2023
S012,Diya,IT,3,21,72.9,67.0,79.0,2,03-08-2023
S013,Isha,Cse,4,20,92.9,54.0,86.0,4,06-08-2023
S014,Kavya,AIML,3,21,90.4,85.0,94.0,0,09-08-2023
S015,Meera,AIML,3,22,83.8,,83.0,7,12-08-2023
S016,Riya,MECH,4,22,77.3,82.0,42.0,7,15-08-2023
S017,Sneha,AIML,3,18,76.3,72.0,59.0,4,18-08-2023
S018,Tara,CSE,4,22,76.3,74.0,35.0,7,21-08-2023
S019,Zara,MECH,2,21,97.5,71.0,83.0,2,24-08-2023
S020,Aisha,AIML,4,19,88.2,88.0,100.0,2,27-08-2023
S021,Kabir,ECE ,3,20,56.9,95.0,79.0,0,30-08-2023
S022,Dev,MECH,3,22,89.1,78.0,44.0,6,02-09-2023
S023,Nikhil,AIML,3,22,78.1,,87.0,7,05-09-2023
S024,Yash,CSE,3,19,63.0,49.0,91.0,6,08-09-2023
S025,Manav,MECH,3,19,72.6,49.0,83.0,6,11-09-2023
S026,Priya,AIML,1,20,97.3,53.0,83.0,5,14-09-2023
S027,Neha,CSE,1,18,64.6,61.0,40.0,3,17-09-2023
S028,Pooja,IT,4,22,91.6,83.0,56.0,1,20-09-2023
S029,Anjali,ECE,3,20,73.2,41.0,51.0,5,23-09-2023
S030,Simran,CSE,4,22,81.4,71.0,46.0,0,26-09-2023
S004,Vihaan,ECE,3,21,,72.0,68.0,4,10-07-2023
