id_cliente,nombre,ciudad,edad,segmento,fecha_registro
C0001,Giancarlo Castillo,AREQUIPA,55.0,VIP,2023-11-08
C0002,Alberto Vásquez,LIMA,111.0,NUEVO,2023-03-08
C0003,Alberto Castillo,AREQUIPA,84.0,REGULAR,2024-06-10
C0004,Gabriela Torres,CUSCO,20.0,REGULAR,2023-10-17
C0005,Daniela Flores,LIMA,88.0,REGULAR,2023-06-09
C0006,Luis Castillo,LIMA,87.0,VIP,2023-06-15
C0007,Diego Díaz,,36.0,REGULAR,2024-12-26
C0008,Karla Espinoza,PIURA,36.0,NUEVO,2024-10-17
C0009,Alejandra Vargas,CHICLAYO,80.0,REGULAR,2023-03-22
C0010,Fiorella Flores,LIMA,61.0,nuevo,2024-11-19
C0011,Sergio Vásquez,CUSCO,29.0,NUEVO,2024-03-16
C0012,Patricia Salazar,AREQUIPA,45.0,NUEVO,2024-08-19
C0013,Renzo Rojas,CHICLAYO,69.0,NUEVO,2024-11-30
C0014,Miguel Castillo,TRUJILLO,81.0,REGULAR,2024-04-29
C0015,Renzo Gutiérrez,LIMA,85.0,REGULAR,2024-09-22
C0016,Diego Flores,AREQUIPA,68.0,NUEVO,2023-11-27
C0017,Karla Vásquez,CUSCO,34.0,REGULAR,2024-01-12
C0018,César Paredes,TRUJILLO,86.0,NUEVO,2024-03-19
C0019,Hugo Aguilar,LIMA,87.0,REGULAR,2023-09-09
C0020,Mónica Torres,PIURA,24.0,REGULAR,2023-02-20
C0021,César Castillo,AREQUIPA,40.0,REGULAR,2024-02-06
C0022,Daniela Rodríguez,TRUJILLO,73.0,REGULAR,2023-12-29
C0023,Rosa Salazar,PIURA,54.0,NUEVO,2024-06-06
C0024,Camila Vargas,CUSCO,39.0,NUEVO,2024-12-28
C0025,Giancarlo Vargas,AREQUIPA,47.0,REGULAR,2024-01-27
C0026,Andrés Rodríguez,LIMA,88.0,VIP,2023-07-05
C0027,Alejandra Chávez,CHICLAYO,43.0,NUEVO,2024-03-17
C0028,Mónica Rodríguez,CUSCO,27.0,NUEVO,2024-03-29
C0029,Jorge Díaz,AREQUIPA,78.0,VIP,2023-01-08
C0030,Carlos Díaz,AREQUIPA,39.0,NUEVO,2023-03-11
C0031,Rosa Gutiérrez,CUSCO,81.0,REGULAR,2024-04-25
C0032,Patricia Gutiérrez,AREQUIPA,43.0,REGULAR,2024-12-28
C0033,Renzo Castillo, piura,53.0,REGULAR,2023-08-03
C0034,Giancarlo Ramos,AREQUIPA,63.0,NUEVO,2024-12-18
C0035,Giancarlo Torres,AREQUIPA,44.0,REGULAR,2024-11-05
C0036,Alberto Flores,LIMA,64.0,VIP,2023-01-15
C0037,Carmen Vásquez,LIMA,87.0,regular,2024-11-16
C0038,Jorge Castro,LIMA,70.0,REGULAR,2024-12-11
C0039,Walter Gutiérrez,CUSCO,,NUEVO,2024-12-21
C0040,Fernando Aguilar,CUSCO,23.0,NUEVO,2024-11-06
C0041,Walter García,LIMA,,NUEVO,2024-01-05
C0042,Andrés Torres,CHICLAYO,76.0,REGULAR,2023-07-21
C0043,Luis Díaz,PIURA,27.0,NUEVO,2023-06-19
C0044,Raúl Salazar,CUSCO,40.0,REGULAR,2023-09-08
C0045,Luis García,CUSCO,78.0,VIP,2023-09-24
C0046,Rosa Castillo,AREQUIPA,74.0,REGULAR,2024-12-27
C0047,Patricia Ramos,TRUJILLO,47.0,REGULAR,2023-05-28
C0048,Marco García, arequipa,18.0,REGULAR,2023-11-19
C0049,Adriana Rodríguez,CHICLAYO,38.0,REGULAR,2023-11-23
C0050,Fiorella Díaz,CHICLAYO,42.0,REGULAR,2024-01-12
C0051,Diego Vásquez,AREQUIPA,58.0,VIP,2024-09-09
C0052,Daniela Espinoza,AREQUIPA,62.0,REGULAR,2023-01-26
C0053,Gabriela Gutiérrez,AREQUIPA,38.0,VIP,2024-11-03
C0054,Andrés Vargas,PIURA,56.0,REGULAR,2024-02-18
C0055,Andrés Gutiérrez,CUSCO,63.0,REGULAR,2024-07-21
C0056,Renzo Vásquez,AREQUIPA,60.0,REGULAR,2023-12-29
C0057,Adriana Salazar,TRUJILLO,47.0,REGULAR,2024-07-05
C0058,Ximena García,CUSCO,86.0,REGULAR,2024-03-24
C0059,Karla Vargas,CUSCO,77.0,VIP,2024-10-01
C0060,Raúl Vargas,AREQUIPA,40.0,NUEVO,2024-02-05
C0061,Óscar Vargas,CUSCO,54.0,VIP,2024-02-13
C0062,Adriana Díaz,PIURA,54.0,REGULAR,2024-08-15
C0063,Valeria Castillo,PIURA,36.0,REGULAR,2024-01-25
C0064,Carmen García,AREQUIPA,18.0,REGULAR,2024-06-05
C0065,Adriana Núñez,AREQUIPA,33.0,REGULAR,2023-03-12
C0066,Marco Chávez,PIURA,50.0,VIP,2024-11-05
C0067,Carmen Díaz,CHICLAYO,55.0,REGULAR,2023-04-10
C0068,César García,,58.0,REGULAR,2024-11-27
C0069,Alejandra Vásquez,CUSCO,40.0,NUEVO,2023-07-28
C0070,Ximena Díaz,TRUJILLO,21.0,VIP,2024-12-07
C0071,María Chávez,TRUJILLO,71.0,REGULAR,2024-08-02
C0072,Diego Salazar,CHICLAYO,83.0,NUEVO,2024-01-01
C0073,Fiorella Rodríguez,LIMA,84.0,VIP,2024-09-10
C0074,Ricardo Torres,LIMA,38.0,VIP,2023-01-27
C0075,Mónica Chávez,TRUJILLO,70.0,REGULAR,2024-04-10
C0076,Miguel Díaz,,72.0,NUEVO,2024-12-30
C0077,Renzo Aguilar,CUSCO,28.0,VIP,2023-11-30
C0078,Alejandra Ramos,TRUJILLO,40.0,REGULAR,2024-05-19
C0079,Rocío Quispe,AREQUIPA,28.0,REGULAR,2023-11-15
C0080,César Rojas,CHICLAYO,65.0,REGULAR,2023-03-07
C0081,Andrés Chávez,PIURA,86.0,VIP,2023-10-27
C0082,Alejandra Aguilar,CUSCO,27.0,VIP,2024-02-24
C0083,Camila Castro,LIMA,42.0,REGULAR,2023-02-02
C0084,Pedro Salazar,CUSCO,27.0,REGULAR,2024-07-31
C0085,Rosa Rodríguez,AREQUIPA,28.0,REGULAR,2024-12-18
C0086,Valeria Núñez,CUSCO,72.0,REGULAR,2024-04-15
C0087,Daniela Quispe,,28.0,REGULAR,2023-12-15
C0088,Ana Chávez,AREQUIPA,86.0,REGULAR,2023-05-16
C0089,Marco Núñez,CUSCO,50.0,VIP,2023-02-24
C0090,Karla Rodríguez,PIURA,84.0,VIP,2024-09-30
C0091,Karla Núñez,PIURA,58.0,VIP,2024-01-09
C0092,Luis Vargas,PIURA,34.0,REGULAR,2024-08-29
C0093,Fiorella Castillo,PIURA,59.0,REGULAR,2023-11-03
C0094,Rocío García,TRUJILLO,86.0,REGULAR,2024-09-26
C0095,Valeria Medina,CUSCO,19.0,VIP,2024-05-11
C0096,Rosa Paredes, chiclayo,71.0,REGULAR,2023-08-06
C0097,Lucía García,AREQUIPA,,VIP,2024-08-09
C0098,Óscar Gutiérrez,AREQUIPA,48.0,REGULAR,2024-10-17
C0099,Alberto Gutiérrez,TRUJILLO,35.0,REGULAR,2024-02-28
C0100,Gabriela Díaz,CHICLAYO,62.0,VIP,2023-08-24
C0101,Pedro Ramos,CHICLAYO,61.0,REGULAR,2024-11-20
C0102,Ximena Torres,LIMA,38.0,REGULAR,2023-09-14
C0103,Ximena Salazar,CHICLAYO,28.0,REGULAR,2024-06-07
C0104,Carmen Quispe,LIMA,59.0,VIP,2023-10-05
C0105,Sofía Ramos,TRUJILLO,,REGULAR,2024-06-16
C0106,Pedro Quispe,TRUJILLO,35.0,REGULAR,2024-05-27
C0107,Raúl Chávez,CHICLAYO,42.0,REGULAR,2024-08-25
C0108,Alejandra Gutiérrez,AREQUIPA,56.0,regular,2023-10-30
C0109,Raúl Rodríguez,CUSCO,58.0,NUEVO,2024-11-26
C0110,Andrés Vásquez,LIMA,73.0,REGULAR,2023-01-22
C0111,Juan Vargas,PIURA,59.0,REGULAR,2023-12-22
C0112,Renzo Paredes,AREQUIPA,39.0,NUEVO,2023-10-01
C0113,Mónica Espinoza,AREQUIPA,54.0,VIP,2024-09-14
C0114,Carlos Flores,TRUJILLO,40.0,REGULAR,2024-01-28
C0115,Gabriela Chávez,PIURA,22.0,REGULAR,2024-09-14
C0116,Giancarlo Díaz,CUSCO,59.0,REGULAR,2024-12-15
C0117,Carmen Paredes,TRUJILLO,54.0,REGULAR,2024-07-16
C0118,Juan Quispe,CUSCO,65.0,REGULAR,2023-08-21
C0119,Ana Rodríguez,PIURA,83.0,REGULAR,2024-06-10
C0120,Rosa Vargas,,81.0,REGULAR,2024-03-31
C0121,Daniela Medina,PIURA,25.0,REGULAR,2024-07-11
C0122,Pedro Rojas,TRUJILLO,26.0,vip,2024-11-11
C0123,Milagros Flores, piura,23.0,VIP,2023-04-27
C0124,Jorge Rojas,CUSCO,84.0,VIP,2023-10-03
C0125,Alberto Castro,AREQUIPA,70.0,REGULAR,2023-05-25
C0126,Daniela Castro,AREQUIPA,35.0,vip,2024-01-15
C0127,Sofía Castillo,CHICLAYO,78.0,REGULAR,2023-05-26
C0128,Ximena Rojas,CUSCO,23.0,REGULAR,2024-11-18
C0129,Estefanía Espinoza,CUSCO,68.0,regular,2024-10-07
C0130,Ximena Medina,LIMA,26.0,REGULAR,2023-01-20
C0131,Raúl Vásquez,CUSCO,43.0,VIP,2023-12-16
