id_venta,fecha,id_cliente,id_producto,sucursal,cantidad,precio_unitario,metodo_pago,nombre_producto,categoria,precio_lista,costo,nombre,ciudad,edad,segmento,fecha_registro,importe,mes
V0001,2024-01-10,C0182,P251,TRUJILLO,5.0,2521.0,EFECTIVO,PeruPC LAPTOP Pro 251,LAPTOP,3550.0,2492.72,Gabriela Castillo,AREQUIPA,64.0,REGULAR,2024-03-18,12605.0,2024-01
V0003,2024-01-26,C0143,P247,CUSCO,2.0,2514.0,TRANSFERENCIA,PeruPC ACCESORIO Plus 247,ACCESORIO,126.0,77.73,Óscar Díaz,CUSCO,55.0,VIP,2023-04-12,5028.0,2024-01
V0004,2024-05-26,C0302,P094,CUSCO,8.0,1742.0,TARJETA,MaxDigital LAPTOP Pro 094,LAPTOP,1870.0,1143.16,Cliente 9694,TRUJILLO,56.0,VIP,2023-04-23,13936.0,2024-05
V0005,2024-02-27,C0244,P265,TRUJILLO,9.0,1652.0,EFECTIVO,AndinaTech TABLET Basic 265,TABLET,1199.0,682.91,César Torres,CHICLAYO,37.0,VIP,2024-07-24,14868.0,2024-02
V0006,2024-04-13,C0082,P098,TRUJILLO,9.0,1420.0,TARJETA,TechNova ACCESORIO Neo 098,ACCESORIO,92.0,57.95,Alejandra Aguilar,CUSCO,27.0,VIP,2024-02-24,12780.0,2024-04
V0007,2024-06-06,C0251,P289,LIMA,1.0,2794.0,TRANSFERENCIA,TechNova AUDIO Pro 289,SIN CATEGORIA,430.0,303.96,Pedro Flores,PIURA,79.0,NUEVO,2023-04-10,2794.0,2024-06
V0009,2024-05-15,C0180,P119,AREQUIPA,7.0,2821.0,EFECTIVO,PeruPC ACCESORIO Plus 119,ACCESORIO,35.0,19.39,Ricardo Chávez,CHICLAYO,59.0,REGULAR,2024-05-07,19747.0,2024-05
V0011,2024-05-10,C0109,P299,CUSCO,8.0,2108.0,TRANSFERENCIA,AndinaTech AUDIO Lite 299,AUDIO,279.0,174.25,Raúl Rodríguez,CUSCO,58.0,NUEVO,2024-11-26,16864.0,2024-05
V0012,2024-06-08,C0290,P224,TRUJILLO,4.0,646.0,EFECTIVO,AndinaTech CELULAR Lite 224,CELULAR,3368.0,1971.78,Cliente 4893,TRUJILLO,28.0,REGULAR,2023-12-04,2584.0,2024-06
V0013,2024-06-04,C0205,P292,CUSCO,10.0,1621.0,EFECTIVO,TechNova LAPTOP Basic 292,LAPTOP,3108.0,1863.84,Walter Chávez,SIN REGISTRO,52.0,NUEVO,2024-09-12,16210.0,2024-06
V0014,2024-05-05,C0018,P240,AREQUIPA,1.0,380.0,EFECTIVO,TechNova LAPTOP Air 240,LAPTOP,3967.0,2432.01,César Paredes,TRUJILLO,86.0,NUEVO,2024-03-19,380.0,2024-05
V0015,2024-05-18,C0250,P273,TRUJILLO,1.0,2685.0,EFECTIVO,MaxDigital AUDIO Pro 273,AUDIO,728.0,497.27,Jorge García,TRUJILLO,63.0,REGULAR,2023-12-17,2685.0,2024-05
V0016,2024-01-17,C0057,P082,CUSCO,1.0,2114.0,TARJETA,AndinaTech ACCESORIO Plus 082,ACCESORIO,109.0,63.3,Adriana Salazar,TRUJILLO,47.0,REGULAR,2024-07-05,2114.0,2024-01
V0017,2024-02-04,C0032,P083,CUSCO,10.0,390.0,TARJETA,MaxDigital MONITOR Neo 083,MONITOR,577.0,336.31,Patricia Gutiérrez,AREQUIPA,43.0,REGULAR,2024-12-28,3900.0,2024-02
V0018,2024-05-08,C0148,P180,LIMA,8.0,2556.0,EFECTIVO,PeruPC ACCESORIO Ultra 180,ACCESORIO,173.0,107.31,Carmen Rodríguez,TRUJILLO,47.0,REGULAR,2023-06-06,20448.0,2024-05
V0020,2024-03-11,C0124,P121,CUSCO,7.0,2428.0,TRANSFERENCIA,PeruPC LAPTOP Neo 121,LAPTOP,862.0,2813.5,Jorge Rojas,CUSCO,84.0,VIP,2023-10-03,16996.0,2024-03
V0021,2024-03-25,C0124,P166,LIMA,5.0,2209.0,TARJETA,PeruPC ACCESORIO Plus 166,ACCESORIO,218.0,126.77,Jorge Rojas,CUSCO,84.0,VIP,2023-10-03,11045.0,2024-03
V0022,2024-04-25,C0115,P187,CUSCO,4.0,1893.0,EFECTIVO,TechNova MONITOR Max 187,MONITOR,835.0,550.25,Gabriela Chávez,PIURA,22.0,REGULAR,2024-09-14,7572.0,2024-04
V0023,2024-02-02,C0275,P242,AREQUIPA,6.0,941.0,EFECTIVO,TechNova ACCESORIO Plus 242,ACCESORIO,157.0,94.12,Cliente 9952,PIURA,62.0,VIP,2024-01-24,5646.0,2024-02
V0024,2024-05-05,C0126,P208,LIMA,4.0,444.0,EFECTIVO,MaxDigital CELULAR Basic 208,SIN CATEGORIA,3255.0,1972.9,Daniela Castro,AREQUIPA,35.0,VIP,2024-01-15,1776.0,2024-05
V0025,2024-04-14,C0290,P109,LIMA,1.0,588.0,TARJETA,PeruPC TABLET Basic 109,TABLET,860.0,517.68,Cliente 4893,TRUJILLO,28.0,REGULAR,2023-12-04,588.0,2024-04
V0026,2024-06-29,C0097,P156,TRUJILLO,5.0,1671.0,EFECTIVO,AndinaTech MONITOR Ultra 156,MONITOR,1027.0,674.37,Lucía García,AREQUIPA,55.0,VIP,2024-08-09,8355.0,2024-06
V0027,2024-01-28,C0209,P275,TRUJILLO,7.0,320.0,EFECTIVO,PeruPC CELULAR Neo 275,CELULAR,1383.0,903.93,Hugo Quispe,TRUJILLO,55.0,REGULAR,2024-05-05,2240.0,2024-01
V0029,2024-03-06,C0306,P079,AREQUIPA,4.0,1201.0,EFECTIVO,PeruPC AUDIO Plus 079,AUDIO,617.0,374.7,Cliente 8140,TRUJILLO,71.0,REGULAR,2023-04-22,4804.0,2024-03
V0030,2024-02-24,C0306,P269,LIMA,8.0,2397.0,EFECTIVO,MaxDigital MONITOR Pro 269,MONITOR,577.0,327.82,Cliente 8140,TRUJILLO,71.0,REGULAR,2023-04-22,19176.0,2024-02
V0031,2024-02-16,C0142,P271,CUSCO,2.0,1598.0,TRANSFERENCIA,PeruPC CELULAR Lite 271,CELULAR,1614.0,893.73,Valeria Castro,SIN REGISTRO,69.0,VIP,2024-08-15,3196.0,2024-02
V0032,2024-02-28,C0214,P098,AREQUIPA,3.0,1585.0,TARJETA,TechNova ACCESORIO Neo 098,ACCESORIO,92.0,57.95,Estefanía García,TRUJILLO,79.0,NUEVO,2024-05-13,4755.0,2024-02
V0034,2024-05-19,C0054,P002,LIMA,1.0,266.0,EFECTIVO,AndinaTech TABLET Ultra 002,TABLET,900.0,571.3,Andrés Vargas,PIURA,56.0,REGULAR,2024-02-18,266.0,2024-05
V0035,2024-05-13,C0014,P290,LIMA,1.0,597.0,TARJETA,AndinaTech LAPTOP Plus 290,LAPTOP,2489.0,1444.37,Miguel Castillo,TRUJILLO,81.0,REGULAR,2024-04-29,597.0,2024-05
V0036,2024-06-23,C0133,P023,AREQUIPA,10.0,2466.0,EFECTIVO,MaxDigital TABLET Ultra 023,TABLET,813.0,448.76,Marco Rojas,LIMA,66.0,NUEVO,2023-06-01,24660.0,2024-06
V0037,2024-01-21,C0142,P241,AREQUIPA,9.0,2992.0,EFECTIVO,MaxDigital AUDIO Air 241,AUDIO,872.0,507.07,Valeria Castro,SIN REGISTRO,69.0,VIP,2024-08-15,26928.0,2024-01
V0039,2024-05-10,C0184,P009,LIMA,1.0,746.0,EFECTIVO,AndinaTech TABLET Max 009,TABLET,428.0,273.38,Hugo Castro,CUSCO,24.0,REGULAR,2024-12-02,746.0,2024-05
V0040,2024-04-24,C0204,P287,AREQUIPA,4.0,1541.0,TARJETA,MaxDigital MONITOR Plus 287,SIN CATEGORIA,1120.0,617.06,Carmen Ramos,CUSCO,52.0,REGULAR,2024-06-05,6164.0,2024-04
V0041,2024-06-29,C0055,P002,CUSCO,4.0,154.0,TRANSFERENCIA,AndinaTech TABLET Ultra 002,TABLET,900.0,571.3,Andrés Gutiérrez,CUSCO,63.0,REGULAR,2024-07-21,616.0,2024-06
